(0,28.4892),
(10000,54.4646),
(20000,10.8929),
(30000,5.8654),
(40000,0.1173),
(50000,0.0922),
(60000,0.013),
(70000,0.0038),
(80000,0.0096),
(90000,0.008),
(100000,0.0155),
(110000,0.0017),
(120000,0.0044),
(130000,0.0019),
(140000,0.0019),
(150000,0.0038),
(160000,0.0021),
(170000,0.0006),
(180000,0.0013),
(190000,0.0008),
(200000,0.0082),
(210000,0.0003),
(220000,0.0003),
(230000,0.0003),
(240000,0.0003),
(250000,0.0002),
(260000,0.0002),
(280000,0.0001),
(290000,0.0001),
(300000,0.0001),
(350000,0.00004),
(400000,0.00004),
(500000,0.00004)
