(0,21.1851),
(20000,10.5926),
(40000,21.1851),
(50000,21.1851),
(60000,2.7541),
(70000,2.7541),
(80000,2.7541),
(90000,2.7541),
(100000,8.2622),
(110000,0.4237),
(120000,1.2711),
(130000,0.4237),
(140000,1.2711),
(150000,1.6948),
(160000,0.1907),
(170000,0.1271),
(180000,0.1907),
(190000,0.1271),
(200000,0.4449),
(210000,0.0212),
(220000,0.0318),
(230000,0.0212),
(240000,0.0318),
(250000,0.0741),
(260000,0.0318),
(280000,0.0318),
(300000,0.1059),
(320000,0.0013),
(340000,0.0013),
(350000,0.0042),
(360000,0.0013),
(380000,0.0013),
(400000,0.0055),
(420000,0.0008),
(440000,0.0008),
(450000,0.0042),
(460000,0.0008),
(470000,0.0004),
(480000,0.0008),
(490000,0.0004),
(500000,0.0064),
(510000,0.0002),
(520000,0.0002),
(530000,0.0002),
(540000,0.0002),
(550000,0.0017),
(560000,0.0002),
(580000,0.0002),
(600000,0.0032),
(620000,0.0006),
(640000,0.0006),
(650000,0.0019),
(660000,0.0006),
(680000,0.0006),
(700000,0.0034),
(750000,0.0019),
(800000,0.0034),
(820000,0.0002),
(840000,0.0002),
(850000,0.0004),
(860000,0.0002),
(880000,0.0002),
(900000,0.0018),
(920000,0.0001),
(940000,0.0001),
(950000,0.0007),
(960000,0.0001),
(980000,0.0001),
(1000000,0.0018),
(1020000,0.00004),
(1040000,0.00004),
(1050000,0.0002),
(1060000,0.00004),
(1080000,0.00004),
(1100000,0.0003),
(1150000,0.0001),
(1200000,0.0004),
(1220000,0.00002),
(1240000,0.00002),
(1250000,0.0001),
(1260000,0.00002),
(1280000,0.00002),
(1300000,0.0003),
(1350000,0.0001),
(1400000,0.0003),
(1450000,0.00004),
(1500000,0.0002),
(1520000,0.00002),
(1540000,0.00002),
(1550000,0.00004),
(1560000,0.00002),
(1580000,0.00002),
(1600000,0.0003),
(1620000,0.00002),
(1640000,0.00002),
(1650000,0.0001),
(1660000,0.00002),
(1680000,0.00002),
(1700000,0.0001),
(1750000,0.0001),
(1800000,0.0003),
(1900000,0.0001),
(1950000,0.00002),
(2000000,0.0001),
(2020000,0.00002),
(2040000,0.00002),
(2050000,0.00004),
(2060000,0.00002),
(2080000,0.00002),
(2100000,0.0001),
(2150000,0.00004),
(2200000,0.0001),
(2300000,0.0001),
(2400000,0.0001),
(2450000,0.00002),
(2500000,0.0001)
