(0,22.7142),
(20000,25.959),
(30000,25.959),
(40000,9.7346),
(50000,6.4898),
(60000,1.9469),
(70000,0.649),
(80000,1.6224),
(90000,1.6224),
(100000,1.9469),
(110000,0.1298),
(120000,0.3569),
(130000,0.1622),
(140000,0.1947),
(150000,0.2596),
(160000,0.013),
(170000,0.0065),
(180000,0.0211),
(190000,0.0065),
(200000,0.0227),
(210000,0.0081),
(220000,0.0065),
(230000,0.0065),
(240000,0.0146),
(250000,0.0114),
(260000,0.0065),
(270000,0.0081),
(280000,0.0032),
(290000,0.0032),
(300000,0.0341),
(320000,0.0032),
(330000,0.0019),
(340000,0.0019),
(350000,0.0052),
(360000,0.0052),
(380000,0.0019),
(390000,0.0019),
(400000,0.0091),
(420000,0.0026),
(430000,0.0006),
(440000,0.0006),
(450000,0.0084),
(460000,0.0013),
(470000,0.0006),
(480000,0.0013),
(490000,0.0013),
(500000,0.0078),
(510000,0.0003),
(520000,0.0003),
(530000,0.0003),
(540000,0.0003),
(550000,0.001),
(560000,0.0003),
(570000,0.0002),
(580000,0.0002),
(590000,0.0002),
(600000,0.0031),
(620000,0.0005),
(630000,0.0003),
(640000,0.0003),
(650000,0.0013),
(660000,0.0006),
(680000,0.0003),
(690000,0.0003),
(700000,0.0015),
(720000,0.0003),
(750000,0.0011),
(800000,0.0016),
(820000,0.0002),
(830000,0.0002),
(840000,0.0002),
(850000,0.0003),
(860000,0.0003),
(880000,0.0002),
(890000,0.0002),
(900000,0.0023),
(920000,0.0003),
(930000,0.0002),
(940000,0.0002),
(950000,0.0008),
(960000,0.0003),
(980000,0.0002),
(990000,0.0002),
(1000000,0.0019),
(1020000,0.0001),
(1030000,0.0001),
(1040000,0.0001),
(1050000,0.0002),
(1060000,0.0001),
(1080000,0.0001),
(1090000,0.0001),
(1100000,0.0004),
(1120000,0.0001),
(1150000,0.0002),
(1200000,0.0003),
(1220000,0.00003),
(1230000,0.00003),
(1240000,0.00003),
(1250000,0.0001),
(1260000,0.0001),
(1280000,0.00003),
(1290000,0.00003),
(1300000,0.0004),
(1320000,0.00003),
(1350000,0.0001),
(1400000,0.0002),
(1450000,0.0001),
(1500000,0.0003)
